,Month,Day,isWeekend,is_Month_Start,is_Month_End,is_Quarter_Start,is_Quarter_End,is_Year_Start,is_Year_End,IncidntCount,isNeighborhood_1.0,isNeighborhood_2.0,isNeighborhood_3.0,isNeighborhood_4.0,isNeighborhood_5.0,isNeighborhood_6.0,isNeighborhood_7.0,isNeighborhood_9.0,isNeighborhood_10.0,isNeighborhood_11.0,isNeighborhood_12.0,isNeighborhood_13.0,isNeighborhood_14.0,isNeighborhood_15.0,isNeighborhood_16.0,isNeighborhood_17.0,isNeighborhood_18.0,isNeighborhood_19.0,isNeighborhood_20.0,isNeighborhood_21.0,isNeighborhood_22.0,isNeighborhood_23.0,isNeighborhood_24.0,isNeighborhood_25.0,isNeighborhood_26.0,isNeighborhood_27.0,isNeighborhood_28.0,isNeighborhood_29.0,isNeighborhood_30.0,isNeighborhood_31.0,isNeighborhood_32.0,isNeighborhood_33.0,isNeighborhood_34.0,isNeighborhood_35.0,isNeighborhood_36.0,isNeighborhood_37.0,isNeighborhood_38.0,isNeighborhood_39.0,isNeighborhood_40.0,isNeighborhood_41.0,Pred_IncidntCount,Analysis Neighborhood,Year,Date
3599,9,1,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.48200890056359,Outer Richmond,2020,2020-09-01
3602,9,1,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.23616137175782,Hayes Valley,2020,2020-09-01
3608,9,1,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.06667041970453,Financial District/South Beach,2020,2020-09-01
3612,9,1,0,1,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30.729700763781906,Tenderloin,2020,2020-09-01
3614,9,1,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27.447021824178883,South of Market,2020,2020-09-01
3621,9,1,0,1,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30.729700763781906,Tenderloin,2020,2020-09-01
3624,9,1,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.894002003402544,Bernal Heights,2020,2020-09-01
3628,9,1,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.27166926811449,Mission,2020,2020-09-01
3629,9,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.197312715363323,Pacific Heights,2020,2020-09-01
3636,9,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.287748963789245,Japantown,2020,2020-09-01
